"","V1","V2","V3","V4","V5","Field Goals","Field Goals","Field Goals","Field Goals","Field Goals","2 Point Field Goals","2 Point Field Goals","2 Point Field Goals","2 Point Field Goals","3 Point Field Goals","3 Point Field Goals","3 Point Field Goals","3 Point Field Goals","Season"
"1","Player","Team","Age","GP","G","Freq","FGM","FGA","FG%","eFG%","2FG Freq","2FGM","2FGA","2FG%","3FG Freq","3PM","3PA","3P%","2021-2022"
"674","George Hill","IND","30","7","7","100%","4.6","8.1","56.1","67.5","52.6%","2.7","4.3","63.3","47.4%","1.9","3.9","48.1","2015-2016"
"675","J.J. Barea","DAL","32","4","4","100%","2.8","8.0","34.4","35.9","75.0%","2.5","6.0","41.7","25.0%","0.3","2.0","12.5","2015-2016"
"676","Jordan Farmar","MEM","29","4","4","100%","2.5","7.8","32.3","38.7","61.3%","1.5","4.8","31.6","38.7%","1.0","3.0","33.3","2015-2016"
"677","Tony Allen","MEM","34","4","4","100%","2.5","7.5","33.3","35.0","76.7%","2.3","5.8","39.1","23.3%","0.3","1.8","14.3","2015-2016"
"678","Jason Terry","HOU","38","5","5","100%","2.6","7.4","35.1","43.2","48.6%","1.4","3.6","38.9","51.4%","1.2","3.8","31.6","2015-2016"
"679","Kyle Korver","ATL","35","10","10","100%","3.5","7.3","47.9","64.4","27.4%","1.1","2.0","55.0","72.6%","2.4","5.3","45.3","2015-2016"
"680","Justin Anderson","DAL","22","5","5","100%","3.4","7.2","47.2","52.8","63.9%","2.6","4.6","56.5","36.1%","0.8","2.6","30.8","2015-2016"
"681","Xavier Munford","MEM","24","4","4","100%","2.3","7.0","32.1","33.9","71.4%","2.0","5.0","40.0","28.6%","0.3","2.0","12.5","2015-2016"
"682","Dion Waiters","OKC","24","18","18","100%","3.1","6.9","44.0","52.4","55.2%","1.9","3.8","49.3","44.8%","1.2","3.1","37.5","2015-2016"
"683","Courtney Lee","CHA","30","7","7","100%","3.0","6.9","43.8","47.9","81.3%","2.4","5.6","43.6","18.8%","0.6","1.3","44.4","2015-2016"
"684","Cory Joseph","TOR","24","20","20","100%","3.5","6.8","50.4","53.3","83.2%","3.0","5.7","53.5","16.8%","0.4","1.1","34.8","2015-2016"
"685","Gerald Henderson","POR","28","11","11","100%","2.7","6.8","40.0","44.7","74.7%","2.1","5.1","41.1","25.3%","0.6","1.7","36.8","2015-2016"
"686","Shaun Livingston","GSW","30","24","24","100%","3.4","6.6","51.6","51.6","99.4%","3.4","6.6","51.9","0.6%","0.0","0.0","0.0","2015-2016"
"687","Patrick Beverley","HOU","27","5","5","100%","2.0","6.6","30.3","34.8","60.6%","1.4","4.0","35.0","39.4%","0.6","2.6","23.1","2015-2016"
"688","Allen Crabbe","POR","24","11","11","100%","3.5","6.5","52.8","63.2","51.4%","2.1","3.4","62.2","48.6%","1.4","3.2","42.9","2015-2016"
"689","Andre Iguodala","GSW","32","24","24","100%","3.3","6.5","49.7","57.6","58.6%","2.2","3.8","57.6","41.4%","1.0","2.7","38.5","2015-2016"
"690","Danny Green","SAS","29","10","10","100%","3.0","6.5","46.2","64.6","26.2%","0.6","1.7","35.3","73.8%","2.4","4.8","50.0","2015-2016"
"691","Vince Carter","MEM","39","4","4","100%","3.8","6.0","62.5","77.1","58.3%","2.0","3.5","57.1","41.7%","1.8","2.5","70.0","2015-2016"
"692","Josh Richardson","MIA","22","14","14","100%","2.4","6.0","39.3","49.4","45.2%","1.1","2.7","42.1","54.8%","1.2","3.3","37.0","2015-2016"
"693","Devin Harris","DAL","33","5","5","100%","3.0","5.8","51.7","58.6","55.2%","2.2","3.2","68.8","44.8%","0.8","2.6","30.8","2015-2016"
"694","Terrence Ross","TOR","25","20","20","100%","2.3","5.7","40.4","49.6","44.7%","1.3","2.5","49.0","55.3%","1.1","3.1","33.3","2015-2016"
"695","Deron Williams","DAL","32","3","2","100%","2.0","5.7","35.3","44.1","58.8%","1.0","3.3","30.0","41.2%","1.0","2.3","42.9","2015-2016"
"696","Rodney Stuckey","IND","30","7","7","100%","2.4","5.6","43.6","50.0","74.4%","1.7","4.1","41.4","25.6%","0.7","1.4","50.0","2015-2016"
"697","Patty Mills","SAS","27","10","10","100%","2.3","5.3","43.4","55.7","32.1%","1.0","1.7","58.8","67.9%","1.3","3.6","36.1","2015-2016"
"698","CJ Miles","IND","29","7","7","100%","1.4","5.0","28.6","31.4","45.7%","1.1","2.3","50.0","54.3%","0.3","2.7","10.5","2015-2016"
"699","Corey Brewer","HOU","30","5","4","100%","1.4","4.8","29.2","31.3","58.3%","1.2","2.8","42.9","41.7%","0.2","2.0","10.0","2015-2016"
"700","Manu Ginobili","SAS","38","10","10","100%","2.0","4.6","43.5","53.3","54.3%","1.1","2.5","44.0","45.7%","0.9","2.1","42.9","2015-2016"
"701","Terry Rozier","BOS","22","5","5","100%","1.8","4.6","39.1","47.8","52.2%","1.0","2.4","41.7","47.8%","0.8","2.2","36.4","2015-2016"
