"","V1","V2","V3","V4","V5","Field Goals","Field Goals","Field Goals","Field Goals","Field Goals","2 Point Field Goals","2 Point Field Goals","2 Point Field Goals","2 Point Field Goals","3 Point Field Goals","3 Point Field Goals","3 Point Field Goals","3 Point Field Goals","Season"
"1","Player","Team","Age","GP","G","Freq","FGM","FGA","FG%","eFG%","2FG Freq","2FGM","2FGA","2FG%","3FG Freq","3PM","3PA","3P%","2021-2022"
"554","Robert Williams III","BOS","21","3","1","100%","0.3","0.7","50.0","50.0","100%","0.3","0.7","50.0","0.0%","0.0","0.0","-","2018-2019"
"555","Abdel Nader","OKC","25","3","2","100%","0.3","0.7","50.0","50.0","100%","0.3","0.7","50.0","0.0%","0.0","0.0","-","2018-2019"
"556","Dante Cunningham","SAS","32","5","3","100%","0.4","0.6","66.7","100","33.3%","0.0","0.2","0.0","66.7%","0.4","0.4","100","2018-2019"
"557","Juancho Hernangomez","DEN","23","5","2","100%","0.2","0.6","33.3","50.0","33.3%","0.0","0.2","0.0","66.7%","0.2","0.4","50.0","2018-2019"
"558","Ekpe Udoh","UTA","32","2","1","100%","0.0","0.5","0.0","0.0","100%","0.0","0.5","0.0","0.0%","0.0","0.0","-","2018-2019"
"559","Quincy Pondexter","SAS","31","5","1","100%","0.0","0.4","0.0","0.0","50.0%","0.0","0.2","0.0","50.0%","0.0","0.2","0.0","2018-2019"
"560","Eric Moreland","TOR","27","8","2","100%","0.1","0.3","50.0","50.0","100%","0.1","0.3","50.0","0.0%","0.0","0.0","-","2018-2019"
"561","Player","Team","Age","GP","G","Freq","FGM","FGA","FG%","eFG%","2FG Freq","2FGM","2FGA","2FG%","3FG Freq","3PM","3PA","3P%","2017-2018"
"562","LeBron James","CLE","33","22","22","100%","12.5","22.4","55.8","59.7","76.9%","10.7","17.2","62.3","23.1%","1.8","5.2","34.2","2017-2018"
"563","Anthony Davis","NOP","25","9","9","100%","11.8","22.1","53.3","54.8","88.9%","11.1","19.7","56.5","11.1%","0.7","2.4","27.3","2017-2018"
"564","Kevin Durant","GSW","29","21","21","100%","10.1","20.1","50.4","55.9","67.7%","7.9","13.6","57.9","32.3%","2.2","6.5","34.6","2017-2018"
"565","Paul George","OKC","28","6","6","100%","8.2","19.2","42.6","50.9","54.8%","5.0","10.5","47.6","45.2%","3.2","8.7","36.5","2017-2018"
"566","Giannis Antetokounmpo","MIL","23","7","7","100%","9.9","16.4","60.0","61.7","87.8%","9.3","14.4","64.4","12.2%","0.6","2.0","28.6","2017-2018"
"567","Khris Middleton","MIL","26","7","7","100%","9.6","15.3","62.6","74.3","63.6%","6.0","9.7","61.8","36.4%","3.6","5.6","64.1","2017-2018"
"568","LaMarcus Aldridge","SAS","32","5","5","100%","7.4","14.6","50.7","52.7","93.2%","6.8","13.6","50.0","6.8%","0.6","1.0","60.0","2017-2018"
"569","Jaylen Brown","BOS","21","18","18","100%","6.9","13.2","52.1","61.3","53.4%","4.4","7.1","63.0","46.6%","2.4","6.2","39.6","2017-2018"
"570","Andrew Wiggins","MIN","23","5","5","100%","6.0","13.0","46.2","51.5","67.7%","4.6","8.8","52.3","32.3%","1.4","4.2","33.3","2017-2018"
"571","JJ Redick","PHI","34","10","10","100%","6.0","12.9","46.5","56.6","42.6%","3.4","5.5","61.8","57.4%","2.6","7.4","35.1","2017-2018"
"572","Jayson Tatum","BOS","20","19","19","100%","6.5","12.8","50.6","55.3","70.8%","5.3","9.1","58.1","29.2%","1.2","3.7","32.4","2017-2018"
"573","Al-Farouq Aminu","POR","27","4","4","100%","6.8","12.8","52.9","65.7","43.1%","3.5","5.5","63.6","56.9%","3.3","7.3","44.8","2017-2018"
"574","Rudy Gay","SAS","31","5","5","100%","5.2","12.6","41.3","44.4","71.4%","4.4","9.0","48.9","28.6%","0.8","3.6","22.2","2017-2018"
"575","Kevin Love","CLE","29","21","21","100%","5.2","12.2","42.6","49.6","59.0%","3.5","7.2","48.3","41.0%","1.7","5.0","34.3","2017-2018"
"576","Dario Saric","PHI","24","10","10","100%","5.9","12.0","49.2","57.5","59.2%","3.9","7.1","54.9","40.8%","2.0","4.9","40.8","2017-2018"
"577","Carmelo Anthony","OKC","34","6","6","100%","4.5","11.8","38.0","42.3","60.6%","3.5","7.2","48.8","39.4%","1.0","4.7","21.4","2017-2018"
"578","Ben Simmons","PHI","21","10","10","100%","6.1","11.7","52.1","52.1","99.1%","6.1","11.6","52.6","0.9%","0.0","0.1","0.0","2017-2018"
"579","Nikola Mirotic","NOP","27","9","9","100%","5.4","11.0","49.5","60.6","49.5%","3.0","5.4","55.1","50.5%","2.4","5.6","44.0","2017-2018"
"580","Marcus Morris Sr.","BOS","28","19","19","100%","4.3","10.9","39.4","46.6","65.4%","2.7","7.2","38.2","34.6%","1.6","3.8","41.7","2017-2018"
"581","Joe Ingles","UTA","30","11","11","100%","5.2","10.8","47.9","62.6","35.3%","2.0","3.8","52.4","64.7%","3.2","7.0","45.5","2017-2018"
"582","Bojan Bogdanovic","IND","29","7","7","100%","4.6","10.7","42.7","54.0","41.3%","2.1","4.4","48.4","58.7%","2.4","6.3","38.6","2017-2018"
"583","Al Horford","BOS","32","19","19","100%","5.8","10.4","56.1","59.8","78.3%","5.0","8.2","61.9","21.7%","0.8","2.3","34.9","2017-2018"
"584","Evan Turner","POR","29","3","3","100%","4.0","10.3","38.7","41.9","77.4%","3.3","8.0","41.7","22.6%","0.7","2.3","28.6","2017-2018"
"585","Marco Belinelli","PHI","32","10","10","100%","4.3","10.1","42.6","50.5","54.5%","2.7","5.5","49.1","45.5%","1.6","4.6","34.8","2017-2018"
"586","Jae Crowder","UTA","27","11","11","100%","3.2","9.6","33.3","43.8","37.1%","1.2","3.5","33.3","62.9%","2.0","6.0","33.3","2017-2018"
"587","E'Twaun Moore","NOP","29","9","9","100%","4.6","8.9","51.3","56.9","70.0%","3.6","6.2","57.1","30.0%","1.0","2.7","37.5","2017-2018"
